family,shape,M,N,K,ai,auto_ms,cublas_fp32_ms,cublas_tf32_ms,tiled_ms,vec_ms,naive_ms,auto_tflops,cublas_fp32_tflops,cublas_tf32_tflops,speedup_fp32,win,relerr,bytes
square,32×32×32,32,32,32,5.3333,0.008145,0.016479,0.016580,-1.000000,-1.000000,-1.000000,0.0080,0.0040,0.0040,2.0230,1,0.000e+00,12288
square,48×48×48,48,48,48,8.0000,0.009347,0.016222,0.016945,-1.000000,-1.000000,-1.000000,0.0237,0.0136,0.0131,1.7356,1,1.864e-07,27648
square,64×64×64,64,64,64,10.6667,0.009471,0.016240,0.016354,-1.000000,-1.000000,-1.000000,0.0554,0.0323,0.0321,1.7148,1,2.535e-07,49152
square,80×80×80,80,80,80,13.3333,0.009303,0.015861,0.016591,-1.000000,-1.000000,-1.000000,0.1101,0.0646,0.0617,1.7048,1,3.431e-07,76800
square,96×96×96,96,96,96,16.0000,0.009269,0.016225,0.017326,-1.000000,-1.000000,-1.000000,0.1909,0.1091,0.1021,1.7504,1,3.396e-07,110592
square,112×112×112,112,112,112,18.6667,0.011229,0.017253,0.016288,-1.000000,-1.000000,-1.000000,0.2502,0.1629,0.1725,1.5365,1,3.839e-07,150528
square,128×128×128,128,128,128,21.3333,0.010881,0.016186,0.009287,-1.000000,-1.000000,-1.000000,0.3855,0.2591,0.4516,1.4876,1,3.618e-07,196608
square,160×160×160,160,160,160,26.6667,0.009862,0.016294,0.009486,-1.000000,-1.000000,-1.000000,0.8307,0.5028,0.8636,1.6522,1,3.586e-07,307200
square,192×192×192,192,192,192,32.0000,0.011864,0.016883,0.009545,-1.000000,-1.000000,-1.000000,1.1932,0.8385,1.4831,1.4231,1,4.399e-07,442368
square,256×256×256,256,256,256,42.6667,0.013644,0.017786,0.009855,-1.000000,-1.000000,-1.000000,2.4593,1.8865,3.4049,1.3036,1,8.198e-07,786432
skinny,4096×1×4096,4096,1,4096,0.4998,0.135142,0.068048,0.080538,-1.000000,-1.000000,-1.000000,0.2483,0.4931,0.4166,0.5035,0,3.782e-07,67141632
skinny,4096×2×4096,4096,2,4096,0.9990,0.130804,0.084164,0.071713,-1.000000,-1.000000,-1.000000,0.5130,0.7974,0.9358,0.6434,0,2.926e-07,67174400
skinny,4096×4×4096,4096,4,4096,1.9961,0.135253,0.085886,0.058100,-1.000000,-1.000000,-1.000000,0.9923,1.5627,2.3101,0.6350,0,3.867e-07,67239936
skinny,4096×8×4096,4096,8,4096,3.9844,0.161943,0.096097,0.057878,-1.000000,-1.000000,-1.000000,1.6576,2.7934,4.6379,0.5934,0,3.701e-07,67371008
skinny,4096×12×4096,4096,12,4096,5.9650,0.321707,0.101466,0.060162,-1.000000,-1.000000,-1.000000,1.2516,3.9683,6.6928,0.3154,0,4.223e-07,67502080
skinny,4096×16×4096,4096,16,4096,7.9380,0.238759,0.104120,0.056393,-1.000000,-1.000000,-1.000000,2.2486,5.1563,9.5202,0.4361,0,3.330e-07,67633152
skinny,4096×24×4096,4096,24,4096,11.8610,0.382243,0.103746,0.057633,-1.000000,-1.000000,-1.000000,2.1068,7.7623,13.9730,0.2714,0,3.273e-07,67895296
skinny,4096×32×4096,4096,32,4096,15.7538,0.386377,0.086592,0.060237,-1.000000,-1.000000,-1.000000,2.7790,12.4000,17.8254,0.2241,0,7.211e-07,68157440
skinny,4096×48×4096,4096,48,4096,23.4504,0.118295,0.109961,0.057056,-1.000000,-1.000000,-1.000000,13.6152,14.6471,28.2288,0.9296,0,8.433e-07,68681728
skinny,4096×64×4096,4096,64,4096,31.0303,0.107522,0.096711,0.053434,-1.000000,-1.000000,-1.000000,19.9725,22.2052,40.1895,0.8995,0,1.061e-06,69206016
skinny,4096×96×4096,4096,96,4096,45.8507,0.266326,0.134940,0.090886,-1.000000,-1.000000,-1.000000,12.0950,23.8716,35.4424,0.5067,0,8.235e-07,70254592
skinny,4096×128×4096,4096,128,4096,60.2353,0.283486,0.143058,0.088829,-1.000000,-1.000000,-1.000000,15.1505,30.0226,48.3511,0.5046,0,8.269e-07,71303168
skinny,8192×1×8192,8192,1,8192,0.4999,0.557058,0.316752,0.309852,-1.000000,-1.000000,-1.000000,0.2409,0.4237,0.4332,0.5686,0,0.000e+00,268500992
skinny,8192×4×8192,8192,4,8192,1.9980,0.696548,0.331759,0.312329,-1.000000,-1.000000,-1.000000,0.7708,1.6183,1.7189,0.4763,0,5.551e-07,268697600
skinny,8192×8×8192,8192,8,8192,3.9922,0.745371,0.328537,0.310306,-1.000000,-1.000000,-1.000000,1.4405,3.2683,3.4603,0.4408,0,6.083e-07,268959744
skinny,8192×16×8192,8192,16,8192,7.9689,0.999526,0.339994,0.312870,-1.000000,-1.000000,-1.000000,2.1485,6.3162,6.8638,0.3402,0,5.403e-07,269484032
skinny,8192×32×8192,8192,32,8192,15.8760,1.400262,0.324510,0.307691,-1.000000,-1.000000,-1.000000,3.0673,13.2353,13.9587,0.2317,0,5.565e-07,270532608
skinny,8192×64×8192,8192,64,8192,31.5077,0.473281,0.374005,0.314044,-1.000000,-1.000000,-1.000000,18.1498,22.9674,27.3526,0.7902,0,1.712e-06,272629760
skinny,8192×128×8192,8192,128,8192,62.0606,1.225987,0.520649,0.360283,-1.000000,-1.000000,-1.000000,14.0131,32.9970,47.6843,0.4247,0,1.661e-06,276824064
